player_yaw,player_pitch,target_dist,ideal_yaw,ideal_pitch,yaw_error,pitch_error,on_ground,out_w,out_a,out_s,out_d,out_sprint,out_left_click,out_right_click
175.49,0.16,5.791,-178.11,4.15,6.4,3.99,1,1,0,0,1,0,1,0
172.71,0.05,5.325,-179.76,4.51,7.53,4.46,1,1,0,0,1,0,1,0
172.51,0.16,4.858,178.12,4.94,5.61,4.78,1,1,0,0,1,0,0,0
169.63,1.6,4.395,175.58,5.46,5.95,3.86,1,1,0,0,1,0,0,0
168.91,0.05,3.938,172.38,6.09,3.47,6.03,1,1,0,0,1,0,0,0
168.6,1.08,3.493,168.33,6.86,-0.27,5.77,1,1,0,0,1,0,0,0
164.49,3.24,3.068,163.09,7.8,-1.4,4.55,1,1,0,0,1,0,0,0
163.05,6.02,2.998,160.57,13.95,-2.48,7.94,0,1,0,0,1,0,0,0
155.65,12.6,2.837,158.0,19.34,2.35,6.75,0,1,0,0,1,0,1,0
153.18,14.24,2.659,154.97,23.79,1.79,9.55,0,1,0,0,1,0,0,0
153.07,17.43,2.679,153.28,22.5,0.2,5.07,0,1,0,0,0,0,1,0
153.79,16.09,2.745,152.3,18.22,-1.49,2.13,0,1,0,0,0,0,0,0
152.05,14.65,2.864,151.88,12.1,-0.16,-2.55,0,1,0,0,0,0,0,0
149.99,10.33,3.04,151.8,5.27,1.81,-5.06,0,0,0,0,0,0,0,0
150.4,3.14,3.184,151.7,-1.29,1.3,-4.43,0,0,0,0,0,0,0,0
153.07,-3.44,3.344,151.63,-7.38,-1.44,-3.94,1,1,0,0,0,0,1,0
152.25,-8.07,3.275,151.58,-7.57,-0.67,0.5,1,1,0,0,0,0,0,0
151.22,-8.38,3.287,151.67,-6.61,0.44,1.77,1,1,0,0,0,0,1,0
151.43,-7.14,3.299,151.91,-4.65,0.48,2.49,1,1,0,0,0,0,0,0
151.12,-2.52,3.357,152.14,-1.51,1.02,1.01,1,1,0,0,0,0,1,0
150.2,-0.87,3.392,152.2,1.39,2.01,2.26,1,1,0,0,0,0,0,0
148.76,2.01,3.575,152.23,4.02,3.48,2.01,1,1,0,0,0,0,0,0
149.99,1.8,3.729,152.45,2.8,2.45,1.0,1,1,0,0,0,0,0,0
150.61,1.9,3.851,152.67,0.64,2.07,-1.27,1,1,0,0,0,0,0,0
152.36,-0.05,3.961,152.89,-1.8,0.53,-1.75,1,1,0,0,0,0,0,0
154.62,-0.25,4.04,153.04,-3.96,-1.58,-3.7,1,1,0,0,0,0,0,0
157.29,-2.31,4.15,154.38,-6.01,-2.91,-3.7,1,1,1,0,0,0,0,0
157.5,-2.41,4.113,156.36,-6.65,-1.14,-4.23,1,1,1,0,0,0,0,0
161.81,-4.06,4.053,158.66,-6.38,-3.15,-2.32,1,1,1,0,0,0,0,0
164.38,-3.54,3.956,161.18,-5.2,-3.2,-1.66,1,1,1,0,0,0,0,0
166.44,-3.85,3.834,163.85,-3.02,-2.59,0.83,1,1,1,0,0,0,0,0
167.16,-3.44,3.701,166.64,0.11,-0.52,3.55,1,1,1,0,0,0,0,0
167.37,-1.69,3.557,169.7,2.34,2.34,4.03,1,1,1,0,0,0,1,0
170.76,-1.28,3.424,172.96,4.72,2.2,6.0,1,1,1,0,0,0,0,0
176.0,0.36,3.211,176.97,5.84,0.97,5.48,1,1,1,0,0,0,1,0
182.27,0.16,2.951,-178.31,6.93,-0.58,6.78,1,1,1,0,0,0,0,0
187.21,3.86,2.685,-173.8,8.04,-1.01,4.18,1,1,1,0,0,0,1,0
189.78,5.4,2.838,-173.02,14.19,-2.8,8.79,0,1,1,0,0,0,0,0
193.58,9.0,2.77,-171.35,19.43,-4.93,10.43,0,1,1,0,0,0,1,0
196.67,8.59,2.634,-169.24,23.74,-5.91,15.16,0,1,1,0,0,0,1,0
198.0,10.64,2.456,-166.44,27.1,-4.45,16.45,0,1,1,0,0,0,0,0
196.87,10.95,2.462,-165.55,24.08,-2.42,13.12,0,1,0,0,0,0,1,0
193.07,11.05,2.535,-165.27,17.71,1.67,6.65,0,0,0,0,0,0,0,0
192.35,9.92,2.678,-165.53,9.47,2.12,-0.45,0,0,0,0,0,0,1,0
194.51,5.19,2.878,-165.81,0.81,-0.32,-4.39,0,1,0,0,0,0,0,0
195.84,2.62,3.128,-166.44,-6.9,-2.29,-9.52,1,1,0,0,0,0,1,0
195.43,-0.67,3.212,-167.13,-9.01,-2.56,-8.35,1,1,0,0,0,0,0,0
193.89,-0.15,3.251,-167.88,-11.21,-1.77,-11.06,1,1,0,0,0,0,1,0
191.94,0.16,3.029,-168.24,-10.4,-0.18,-10.56,1,1,0,0,0,0,0,0
