tick,player_x,player_y,player_z,player_yaw,player_pitch,on_ground,my_vx,my_vz,my_hurt,target_x,target_y,target_z,target_dist,tgt_vx,tgt_vz,tgt_hurt,out_w,out_a,out_s,out_d,out_sprint,out_left_click,out_right_click
128,490128.5,73.0,5151.177726444085,180.0,0.0,1,0.0,0.0,0,,,,,,,,0,0,0,0,0,0,0
129,490128.5,73.0,5151.177726444085,180.0,0.0,1,0.0,0.0,0,,,,,,,,0,0,0,0,0,0,0
130,490128.5,73.0,5151.177726444085,180.0,0.0,1,0.0,0.0,0,,,,,,,,0,0,0,0,0,0,0
131,490128.5,73.0,5151.177726444085,180.0,0.0,1,0.0,0.0,0,,,,,,,,0,0,0,0,0,0,0
132,490128.5,73.0,5151.177726444085,180.0,0.0,1,0.0,0.0,0,,,,,,,,0,0,0,0,0,0,0
133,490128.5,73.0,5151.177726444085,180.0,0.0,1,0.0,0.0,0,,,,,,,,0,0,0,0,0,0,0
134,490128.5,73.0,5151.177726444085,180.0,0.0,1,0.0,0.0,0,,,,,,,,0,0,0,0,0,0,0
135,490128.5,73.0,5151.177726444085,180.0,0.0,1,0.0,0.0,0,,,,,,,,0,0,0,0,0,0,0
136,490128.5,73.0,5151.177726444085,180.0,0.0,1,0.0,0.0,0,,,,,,,,0,0,0,0,0,0,0
137,490128.5,73.0,5151.177726444085,180.0,0.0,1,0.0,0.0,0,,,,,,,,0,0,0,0,0,0,0
138,490128.5,73.0,5151.177726444085,180.0,0.0,1,0.0,0.0,0,490127.34375,73.0,5104.375,46.817,0.0,0.0,0,0,0,0,0,0,0,0
139,490128.5,73.0,5151.177726444085,180.0,0.0,1,0.0,0.0,0,490127.34375,73.0,5104.375,46.817,0.0,0.0,0,0,0,0,0,0,0,0
140,490128.5,73.0,5151.177726444085,180.0,0.0,1,0.0,0.0,0,490127.34375,73.0,5104.46875,46.723,0.0,0.0938,0,0,0,0,0,0,0,0
141,490128.5,73.0,5151.177726444085,180.0,0.0,1,0.0,0.0,0,490127.34375,73.0,5104.5625,46.63,0.0,0.0938,0,0,0,0,0,0,0,0
142,490128.5,73.0,5151.177726444085,180.0,0.0,1,0.0,0.0,0,490127.3541666667,73.0,5104.78125,46.411,0.0104,0.2188,0,0,0,0,0,0,0,0
143,490128.5,73.0,5151.177726444085,180.0,0.0,1,0.0,0.0,0,490127.3645833334,73.0,5105.0,46.192,0.0104,0.2188,0,0,0,0,0,0,0,0
144,490128.5,73.0,5151.177726444085,180.0,0.0,1,0.0,0.0,0,490127.36805555556,73.0,5105.260416666667,45.931,0.0035,0.2604,0,0,0,0,0,0,0,0
145,490128.5,73.0,5151.177726444085,180.0,0.0,1,0.0,0.0,0,490127.37152777775,73.0,5105.520833333334,45.671,0.0035,0.2604,0,0,0,0,0,0,0,0
146,490128.5,73.0,5151.177726444085,180.0,0.0,1,0.0,0.0,0,490127.37268518517,73.0,5105.79513888889,45.397,0.0012,0.2743,0,0,0,0,0,0,0,0
147,490128.5,73.0,5151.177726444085,180.0,0.0,1,0.0,0.0,0,490127.3738425926,73.0,5106.069444444445,45.122,0.0012,0.2743,0,0,0,0,0,0,0,0
148,490128.5,73.0,5151.177726444085,180.0,0.0,1,0.0,0.0,0,490127.38464506174,73.0,5106.3587962962965,44.833,0.0108,0.2894,0,0,0,0,0,0,0,0
149,490128.5,73.0,5151.177726444085,180.0,0.0,1,0.0,0.0,0,490127.3954475309,73.0,5106.648148148148,44.543,0.0108,0.2894,0,0,0,0,0,0,0,0
150,490128.5,73.0,5151.177726444085,180.0,0.0,1,0.0,0.0,0,490127.39904835395,73.0,5106.932098765432,44.259,0.0036,0.284,0,0,0,0,0,0,0,0
151,490128.5,73.0,5151.177726444085,180.0,0.0,1,0.0,0.0,0,490127.402649177,73.0,5107.216049382716,43.975,0.0036,0.284,0,0,0,0,0,0,0,0
152,490128.5,73.0,5151.177726444085,180.0,0.0,1,0.0,0.0,0,490127.414266118,73.0,5107.498199588477,43.693,0.0116,0.2822,0,0,0,0,0,0,0,0
153,490128.5,73.0,5151.177726444085,180.0,0.0,1,0.0,0.0,0,490127.42588305904,73.0,5107.780349794239,43.411,0.0116,0.2822,0,0,0,0,0,0,0,0
154,490128.5,73.0,5151.177726444085,180.0,0.0,1,0.0,0.0,0,490127.4297553727,73.0,5108.072316529492,43.119,0.0039,0.292,0,0,0,0,0,0,0,0
155,490128.5,73.0,5151.177726444085,180.0,0.0,1,0.0,0.0,0,490127.43362768635,73.0,5108.364283264746,42.827,0.0039,0.292,0,0,0,0,0,0,0,0
156,490128.5,73.0,5151.177726444085,180.0,0.0,1,0.0,0.0,0,490127.4453351242,73.0,5108.64910550983,42.542,0.0117,0.2848,0,0,0,0,0,0,0,0
157,490128.5,73.0,5151.177726444085,180.0,0.0,1,0.0,0.0,0,490127.4570425621,73.0,5108.933927754915,42.257,0.0117,0.2848,0,0,0,0,0,0,0,0
158,490128.5,73.0,5151.177726444085,180.0,0.0,1,0.0,0.0,0,490127.4609450414,73.0,5109.2163685032765,41.974,0.0039,0.2824,0,0,0,0,0,0,0,0
159,490128.5,73.0,5151.177726444085,180.0,0.0,1,0.0,0.0,0,490127.4648475207,73.0,5109.498809251638,41.692,0.0039,0.2824,0,0,0,0,0,0,0,0
