tick,player_x,player_y,player_z,player_yaw,player_pitch,on_ground,my_vx,my_vy,my_vz,my_hurt,my_health,target_x,target_y,target_z,target_dist,tgt_vx,tgt_vz,tgt_hurt,tgt_health,out_w,out_a,out_s,out_d,out_sprint,out_jump,out_left_click,out_right_click
211306,505102.5,73.0,3108.5,-4.215,7.608,1,0.0,0.0,0.0,0,40.0,505102.46952160494,73.0,3140.246913580247,31.747,-0.0004,-0.436,0,40.0,0,0,0,0,0,0,0,0
211307,505102.5,73.0,3108.5,-4.215,7.608,1,0.0,0.0,0.0,0,40.0,505102.4691358025,73.0,3139.810956790124,31.311,-0.0004,-0.436,0,40.0,0,0,0,0,0,0,0,0
211308,505102.5,73.0,3108.5,-4.215,7.608,1,0.0,0.0,0.0,0,40.0,505102.46900720167,73.0,3139.3531378600824,30.853,-0.0001,-0.4578,0,40.0,0,0,0,0,0,0,0,0
211309,505102.5,73.0,3108.5,-4.215,7.608,1,0.0,0.0,0.0,0,40.0,505102.46887860086,73.0,3138.895318930041,30.395,-0.0001,-0.4578,0,40.0,0,0,0,0,0,0,0,0
211310,505102.5,73.0,3108.5,-4.215,7.608,1,0.0,0.0,0.0,0,40.0,505102.4688357339,73.0,3138.440629286694,29.941,-0.0,-0.4547,0,40.0,0,0,0,0,0,0,0,0
211311,505102.5,73.0,3108.5,-4.215,7.608,1,0.0,0.0,0.0,0,40.0,505102.4687928669,73.0,3137.9859396433467,29.486,-0.0,-0.4547,0,40.0,0,0,0,0,0,0,0,0
211312,505102.5,73.0,3108.5,-4.215,7.608,1,0.0,0.0,0.0,0,40.0,505102.4687785779,73.0,3137.5322930955645,29.032,-0.0,-0.4536,0,40.0,0,0,0,0,0,0,0,0
211313,505102.5,73.0,3108.5,1.234,4.318,1,0.0,0.0,0.0,0,40.0,505102.46876428893,73.0,3137.0786465477822,28.579,-0.0,-0.4536,0,40.0,0,0,0,0,0,0,0,0
211314,505102.5,73.0,3108.5,12.337,6.169,1,0.0,0.0,0.0,0,40.0,505102.468759526,73.0,3136.6253476985216,28.125,-0.0,-0.4533,0,40.0,0,0,0,0,0,0,0,0
211315,505102.5,73.0,3108.5,6.786,3.496,1,0.0,0.0,0.0,0,40.0,505102.468754763,73.0,3136.172048849261,27.672,-0.0,-0.4533,0,40.0,0,0,0,0,0,0,0,0
